Serial Number;SKU;Equipment Type;Brand;Model;Date of Purchase;Location;Condition;Size (m²);Color;Purchase Price (€);Current Value (€);Sale Price (€);Notes
KXR705BBA1105977;;Kites;Core;XR7;;;2;5;;;;;
KXR805WBA3066775;;Kites;Core;XR8;;;2;5;;;;;
FKVI30S06/4618/58579;;Kites;Core;Viron;;;4;6;;;;;
KXR706WBA1102018;;Kites;Core;XR7;;;2;6;;;;;
KXR706WBA1106118;;Kites;Core;XR7;;;2;6;;;;;
KNX307BBA1125321;;Kites;Core;Nexus3;;;2;7;;;;;
KXR807WBA3094136;;Kites;Core;XR8;;;2;7;;;;;
KGS607BBA1047302;;Kites;Core;GTS6;;;1;7;;;;;
KGS608BBA1046312;;Kites;Core;GTS6;;;1;8;;;;;
KXR808BBA3099566;;Kites;Core;XR8;;;2;8;;;;;
KGS609BBA1040912;;Kites;Core;GTS6;;;1;9;;;;;
KGS609BBA1047881;;Kites;Core;GTS6;;;2;9;;;;;
KNX309BBA1120681;;Kites;Core;Nexus3;;;1;9;;;;;
KXR709BBA2039000;;Kites;Core;XR7;;;1;9;;;;;
12913;;Kites;Eleveight;RS;;;4;9;;;;;
12051;;Kites;Eleveight;RS;;;4;9;;;;;
12723;;Kites;Eleveight;RSV6;;;4;9;;;;;
KGS610BBA1043132;;Kites;Core;GTS6;;;2;10;;;;;
KGS610BBA0121791;;Kites;Core;GTS6;;;2;10;;;;;
KGS610BBA1045432;;Kites;Core;GTS6;;;2;10;;;;;
15763;;Kites;Eleveight;OS;;;4;10;;;;;
KXR710BBA2034751;;Kites;Core;XR7;;;1;10;;;;;
KXR710BBA2031531;;Kites;Core;XR7;;;4;10;;;;;
KNX411WBA3116681;;Kites;Core;Nexus 4;;;4;11;;;;;
KXR711BBA2038342;;Kites;Core;XR7;;;4;11;;;;;
KXR711BBA2030142;;Kites;Core;XR7;;;3;11;;;;;
KNX311BBA1129082;;Kites;Core;Nexus 3;;;4;11;;;;;
KGS612BBA1043842;;Kites;Core;GTS6;;;3;12;;;;;
KGS612BBA1043142;;Kites;Core;GTS6;;;1;12;;;;;
KGS612BBA1042832;;Kites;Core;GTS6;;;1;12;;;;;
KGS612BBA1049742;;Kites;Core;GTS6;;;2;12;;;;;
KXR712BBA2036940;;Kites;Core;XR7;;;4;12;;;;;
15838;;Kites;Eleveight;OS;;;4;12;;;;;
15875;;Kites;Eleveight;OS;;;4;12;;;;;
15824;;Kites;Eleveight;OS;;;4;12;;;;;
KNX4135WBA3111391;;Kites;Core;Nexus 4;;;4;13,5;;;;;
KNX3135BBA1121003;;Kites;Core;Nexus3;;;2;13,5;;;;;
KXR135BBA2044204;;Kites;Core;XR7;;;4;13,5;;;;;
KNX315BBA1121603;;Kites;Core;Nexus3;;;4;15;;;;;
KNX41WBA3115491;;Kites;Core;Nexus 4;;;4;15;;;;;
10826;;Kites;Eleveight;RS;;;4;14;;;;;
10854;;Kites;Eleveight;RS;;;4;14;;;;;
12516;;Kites;Eleveight;RS;;;4;17;;;;;
KXR810BBA4016788;;Kites;Core;XR8;;;3;10;;;;;
KNX411BBA3114231;;Kites;Core;Nexus 4;;;4;11;;;;;
KXR811BBA3093626;;Kites;Core;XR8;;;4;11;;;;;
KXR812BBA3015833;;Kites;Core;XR8;;;3;12;;;;;
KNX412BBA3117671;;Kites;Core;Nexus 4;;;4;12;;;;;
KXR8135BBA4091600;;Kites;Core;XR8;;;4;13,5;;;;;
KXR815BBA4099310;;Kites;Core;XR8;;;4;15;;;;;
KNX415BBA4058192;;Kites;Core;Nexus 4;;;4;15;;;;;
